Customer_ID,Signup_Date,Plan,Monthly_Charge,Tenure_Months,Payment_Method,Support_Calls,Login_Frequency,Churned,Churn_Reason
110,2023-05-02,Premium,39.99,8,Bank Transfer,4,13,0,
111,2023-03-11,Premium,39.99,9,Bank Transfer,10,25,0,
112,2024-04-29,Basic,9.99,36,Bank Transfer,2,7,0,
113,2023-10-10,Basic,9.99,17,Bank Transfer,6,23,1,Found better alternative
114,2023-01-16,Standard,19.99,15,Mobile Money,10,2,1,Found better alternative
115,2023-05-04,Premium,39.99,3,PayPal,7,25,0,
116,2024-04-17,Standard,19.99,36,PayPal,10,29,0,
117,2024-02-02,Premium,39.99,35,Credit Card,1,0,0,
118,2024-01-06,Premium,39.99,1,Mobile Money,3,20,0,
119,2023-08-23,Standard,19.99,1,PayPal,0,19,0,
120,2023-11-24,Standard,19.99,12,PayPal,8,14,1,Price too high
121,2024-01-30,Premium,39.99,3,Bank Transfer,0,20,1,Poor service
122,2023-10-19,Standard,19.99,24,Mobile Money,2,9,0,
123,2023-12-24,Basic,9.99,3,Bank Transfer,9,26,1,Poor service
124,2023-12-08,Standard,19.99,17,PayPal,8,8,0,
125,2023-02-10,Standard,19.99,27,Bank Transfer,9,9,0,
126,2023-10-13,Basic,9.99,2,Bank Transfer,3,5,0,
127,2024-03-25,Premium,39.99,2,PayPal,8,27,1,Found better alternative
128,2023-06-14,Standard,19.99,23,Mobile Money,2,28,0,
129,2024-02-05,Basic,9.99,1,PayPal,8,14,1,No longer needed
130,2023-11-19,Standard,19.99,12,Bank Transfer,9,4,0,
131,2023-01-25,Premium,39.99,26,PayPal,7,6,0,
132,2024-02-11,Premium,39.99,26,Bank Transfer,6,17,0,
133,2024-05-15,Basic,9.99,5,Credit Card,3,20,0,
134,2024-02-11,Standard,19.99,11,PayPal,6,30,0,
135,2023-06-24,Basic,9.99,12,Credit Card,0,2,0,
136,2023-07-14,Basic,9.99,17,Mobile Money,5,16,1,Poor service
137,2023-12-01,Premium,39.99,28,Mobile Money,5,8,0,
138,2023-03-28,Premium,39.99,10,Mobile Money,9,11,0,
139,2023-03-11,Standard,19.99,29,Mobile Money,2,14,0,
140,2023-09-07,Premium,39.99,20,Mobile Money,9,14,0,
141,2023-09-05,Basic,9.99,30,PayPal,1,11,0,
142,2023-07-15,Standard,19.99,21,Credit Card,3,4,0,
143,2023-03-04,Premium,39.99,28,Credit Card,1,4,0,
144,2023-04-07,Basic,9.99,15,Bank Transfer,0,11,0,
145,2023-01-31,Basic,9.99,13,Credit Card,3,7,0,
146,2023-04-16,Basic,9.99,34,Credit Card,2,14,0,
147,2023-06-30,Standard,19.99,23,Bank Transfer,3,9,1,No longer needed
148,2023-02-23,Basic,9.99,3,PayPal,6,29,0,
149,2024-01-31,Standard,19.99,22,PayPal,10,15,0,
150,2023-06-04,Premium,39.99,31,Mobile Money,0,15,1,Price too high
151,2023-06-19,Basic,9.99,2,Mobile Money,5,22,0,
152,2023-12-27,Basic,9.99,12,Bank Transfer,5,11,0,
153,2023-12-12,Standard,19.99,21,Bank Transfer,6,5,0,
154,2023-04-29,Premium,39.99,20,Credit Card,1,21,0,
155,2024-02-08,Basic,9.99,13,Credit Card,5,12,0,
156,2024-05-15,Basic,9.99,16,Credit Card,2,17,0,
157,2023-10-15,Standard,19.99,11,Credit Card,5,10,0,
158,2023-05-18,Standard,19.99,12,PayPal,9,25,0,
159,2023-01-12,Premium,39.99,4,PayPal,0,9,0,
160,2023-08-29,Basic,9.99,4,PayPal,4,20,0,
161,2023-05-13,Basic,9.99,21,PayPal,0,7,0,
162,2024-04-22,Basic,9.99,6,PayPal,0,20,0,
163,2023-04-09,Standard,19.99,32,Mobile Money,5,4,0,
164,2024-03-05,Basic,9.99,14,Mobile Money,8,14,1,Poor service
165,2023-08-17,Basic,9.99,19,Credit Card,3,27,0,
166,2023-08-28,Premium,39.99,14,Credit Card,8,22,0,
167,2023-03-31,Basic,9.99,13,Bank Transfer,6,0,1,Poor service
168,2023-01-09,Basic,9.99,6,Credit Card,1,2,1,Found better alternative
169,2024-02-13,Standard,19.99,24,PayPal,7,12,0,
170,2023-08-08,Basic,9.99,31,PayPal,8,14,1,Price too high
171,2023-07-01,Basic,9.99,20,Bank Transfer,9,1,1,Poor service
172,2023-01-23,Premium,39.99,36,Bank Transfer,10,7,0,
173,2023-02-26,Standard,19.99,36,Mobile Money,3,3,1,No longer needed
174,2024-02-16,Basic,9.99,12,PayPal,2,5,0,
175,2024-03-07,Basic,9.99,17,Credit Card,3,6,0,
176,2024-01-29,Premium,39.99,2,Mobile Money,10,19,0,
177,2023-05-19,Premium,39.99,17,Mobile Money,2,17,0,
178,2024-05-13,Standard,19.99,35,Bank Transfer,7,24,1,Price too high
179,2024-03-25,Basic,9.99,5,Credit Card,2,19,1,Poor service
180,2023-09-26,Premium,39.99,27,Bank Transfer,0,9,0,
181,2023-12-10,Standard,19.99,4,Credit Card,9,6,0,
182,2024-01-18,Standard,19.99,24,PayPal,2,20,0,
183,2023-06-28,Premium,39.99,30,PayPal,5,11,0,
184,2023-04-18,Premium,39.99,18,Bank Transfer,3,19,0,
185,2023-02-22,Premium,39.99,31,PayPal,7,8,0,
186,2023-08-24,Basic,9.99,14,Bank Transfer,0,16,0,
187,2023-01-10,Standard,19.99,1,Mobile Money,2,19,0,
188,2023-10-15,Basic,9.99,9,Mobile Money,8,27,0,
189,2023-04-04,Premium,39.99,24,PayPal,2,26,1,Price too high
190,2023-09-04,Basic,9.99,28,Bank Transfer,10,16,0,
191,2023-07-24,Premium,39.99,34,Mobile Money,0,19,1,Found better alternative
192,2023-05-06,Standard,19.99,21,Credit Card,10,0,0,
193,2023-03-03,Basic,9.99,16,Bank Transfer,9,6,0,
194,2023-10-17,Standard,19.99,3,Bank Transfer,3,12,0,
195,2023-08-25,Standard,19.99,4,PayPal,3,18,1,No longer needed
196,2023-04-05,Premium,39.99,28,PayPal,3,18,0,
197,2023-06-02,Basic,9.99,6,Credit Card,5,25,0,
198,2023-04-29,Premium,39.99,5,Credit Card,6,7,0,
199,2023-08-31,Basic,9.99,36,Bank Transfer,9,13,0,
200,2023-11-06,Standard,19.99,11,Mobile Money,2,23,0,
201,2023-07-28,Standard,19.99,31,Bank Transfer,5,22,0,
202,2023-02-08,Premium,39.99,33,Credit Card,3,15,0,
203,2023-10-01,Basic,9.99,29,Mobile Money,8,1,0,
204,2024-04-24,Basic,9.99,29,Mobile Money,7,0,1,Price too high
205,2023-05-08,Premium,39.99,25,PayPal,2,20,0,
206,2023-07-16,Premium,39.99,23,Credit Card,9,24,0,
207,2023-09-03,Basic,9.99,13,Mobile Money,8,12,0,
208,2024-03-25,Premium,39.99,9,Credit Card,5,17,0,
209,2023-05-19,Standard,19.99,8,PayPal,7,9,0,
210,2023-11-16,Standard,19.99,11,Credit Card,1,26,0,
211,2023-10-26,Premium,39.99,3,Bank Transfer,8,26,1,Price too high
212,2024-03-12,Premium,39.99,3,Mobile Money,2,5,0,
213,2024-04-16,Premium,39.99,25,Bank Transfer,0,6,0,
214,2023-10-20,Standard,19.99,26,Credit Card,3,19,0,
215,2023-09-13,Premium,39.99,10,PayPal,2,22,0,
216,2023-06-19,Basic,9.99,31,Credit Card,7,22,0,
217,2024-01-13,Premium,39.99,10,Credit Card,8,4,1,Poor service
218,2023-05-11,Premium,39.99,9,PayPal,0,8,0,
219,2023-08-29,Basic,9.99,25,Mobile Money,9,27,0,
220,2023-02-19,Premium,39.99,32,Credit Card,10,11,1,Poor service
221,2023-06-13,Basic,9.99,1,PayPal,6,16,1,No longer needed
222,2024-02-05,Standard,19.99,24,PayPal,1,11,0,
223,2023-03-26,Premium,39.99,10,Credit Card,0,17,0,
224,2023-01-19,Standard,19.99,19,Bank Transfer,2,23,1,Price too high
225,2023-05-27,Basic,9.99,35,Credit Card,9,27,1,Price too high
226,2023-06-04,Premium,39.99,7,Mobile Money,3,4,0,
227,2024-02-23,Standard,19.99,7,Bank Transfer,8,8,0,
228,2023-08-09,Basic,9.99,14,Mobile Money,2,11,0,
229,2023-10-05,Premium,39.99,18,Mobile Money,10,3,0,
230,2023-03-24,Premium,39.99,3,Credit Card,3,11,0,
231,2023-09-27,Basic,9.99,25,Mobile Money,2,6,0,
232,2023-06-22,Standard,19.99,29,Credit Card,0,30,0,
233,2023-06-23,Standard,19.99,17,PayPal,4,9,0,
234,2024-04-06,Basic,9.99,4,Credit Card,5,25,0,
235,2023-06-23,Premium,39.99,13,PayPal,3,22,0,
236,2023-03-30,Basic,9.99,4,Credit Card,0,10,1,No longer needed
237,2023-08-18,Standard,19.99,24,PayPal,8,7,0,
238,2023-05-07,Premium,39.99,18,PayPal,1,10,0,
239,2023-01-01,Premium,39.99,6,Credit Card,9,21,0,
240,2024-04-14,Premium,39.99,26,PayPal,3,17,0,
241,2023-02-14,Premium,39.99,16,Bank Transfer,7,28,0,
242,2023-03-06,Standard,19.99,26,PayPal,7,9,0,
243,2024-01-31,Standard,19.99,23,Mobile Money,9,19,0,
244,2024-01-10,Standard,19.99,36,PayPal,5,6,0,
245,2024-04-18,Premium,39.99,27,Bank Transfer,7,16,1,Found better alternative
246,2023-07-03,Basic,9.99,17,PayPal,4,3,1,Found better alternative
247,2024-05-04,Standard,19.99,13,Mobile Money,1,12,0,
248,2023-02-19,Standard,19.99,30,PayPal,0,0,0,
249,2023-10-26,Premium,39.99,14,Credit Card,1,1,0,
250,2023-09-25,Basic,9.99,20,PayPal,10,8,0,
251,2023-06-19,Premium,39.99,26,Credit Card,1,3,0,
252,2024-03-28,Basic,9.99,36,PayPal,10,20,1,Poor service
253,2023-12-31,Standard,19.99,10,Bank Transfer,2,26,0,
254,2024-05-07,Basic,9.99,24,Bank Transfer,4,3,1,Found better alternative
255,2023-11-22,Standard,19.99,26,PayPal,5,9,0,
256,2024-03-29,Premium,39.99,6,Mobile Money,10,3,1,Price too high
257,2023-09-13,Premium,39.99,7,Bank Transfer,2,5,0,
258,2023-08-10,Standard,19.99,23,Credit Card,6,5,0,
259,2023-07-16,Standard,19.99,29,Mobile Money,3,18,0,
260,2023-03-02,Basic,9.99,10,Mobile Money,4,5,0,
261,2023-08-16,Premium,39.99,25,Credit Card,0,19,0,
262,2023-01-22,Basic,9.99,5,Credit Card,0,13,0,
263,2023-06-08,Premium,39.99,21,Mobile Money,1,17,0,
264,2023-08-14,Basic,9.99,28,Mobile Money,3,26,1,Price too high
265,2024-02-08,Standard,19.99,1,Bank Transfer,0,2,1,Poor service
266,2023-01-17,Standard,19.99,5,Bank Transfer,3,22,0,
267,2023-11-25,Standard,19.99,33,Bank Transfer,9,3,0,
268,2023-12-30,Basic,9.99,4,Bank Transfer,10,4,1,Price too high
269,2023-08-17,Standard,19.99,35,PayPal,7,3,1,No longer needed
270,2023-05-18,Basic,9.99,5,Mobile Money,6,6,0,
271,2023-06-28,Standard,19.99,2,PayPal,4,7,0,
272,2023-07-19,Basic,9.99,4,Credit Card,8,19,1,Price too high
273,2024-04-19,Basic,9.99,10,Bank Transfer,4,9,1,Found better alternative
274,2023-02-06,Basic,9.99,9,Mobile Money,4,30,1,Poor service
275,2024-04-16,Standard,19.99,32,Credit Card,2,17,0,
276,2023-06-05,Premium,39.99,21,Credit Card,6,17,0,
277,2023-03-30,Premium,39.99,25,Mobile Money,6,6,1,Found better alternative
278,2023-08-11,Premium,39.99,27,Credit Card,3,11,0,
279,2023-01-03,Basic,9.99,19,PayPal,10,7,0,
280,2023-11-06,Premium,39.99,31,Mobile Money,0,16,0,
281,2024-02-10,Standard,19.99,14,Credit Card,1,20,0,
282,2023-09-17,Standard,19.99,1,Bank Transfer,3,8,0,
283,2023-08-22,Basic,9.99,4,PayPal,6,3,0,
284,2023-12-30,Basic,9.99,32,Bank Transfer,3,20,0,
285,2023-09-14,Standard,19.99,16,PayPal,2,25,1,Found better alternative
286,2023-09-08,Premium,39.99,17,Credit Card,9,7,0,
287,2024-04-20,Premium,39.99,2,PayPal,6,7,0,
288,2023-02-12,Standard,19.99,13,Mobile Money,2,3,1,No longer needed
289,2024-04-26,Basic,9.99,25,PayPal,9,11,1,Price too high
290,2023-02-14,Basic,9.99,22,Bank Transfer,0,23,0,
291,2023-06-25,Basic,9.99,27,PayPal,7,13,1,Found better alternative
292,2024-03-07,Premium,39.99,5,PayPal,1,2,0,
293,2023-11-03,Basic,9.99,21,Bank Transfer,9,30,0,
294,2023-06-26,Basic,9.99,22,Credit Card,2,16,1,Price too high
295,2023-01-22,Standard,19.99,31,Mobile Money,2,13,0,
296,2023-08-29,Premium,39.99,13,Bank Transfer,10,21,0,
297,2024-01-27,Basic,9.99,4,Credit Card,3,24,0,
298,2023-08-17,Premium,39.99,21,Credit Card,10,23,0,
299,2023-07-18,Basic,9.99,20,Bank Transfer,0,24,0,
300,2023-04-18,Standard,19.99,27,Bank Transfer,0,5,0,
301,2024-04-06,Standard,19.99,26,Mobile Money,2,27,0,
302,2023-11-20,Standard,19.99,5,Bank Transfer,6,21,0,
303,2023-08-13,Basic,9.99,35,Bank Transfer,5,15,1,Price too high
304,2023-03-18,Basic,9.99,21,PayPal,6,3,0,
305,2023-02-07,Standard,19.99,17,Credit Card,0,26,0,
306,2023-03-16,Standard,19.99,17,Mobile Money,1,14,0,
307,2024-03-06,Standard,19.99,14,Mobile Money,8,0,0,
308,2023-12-24,Premium,39.99,4,Bank Transfer,7,5,1,Price too high
309,2023-09-04,Basic,9.99,34,PayPal,9,21,0,
310,2023-11-25,Premium,39.99,6,Credit Card,1,28,0,
311,2024-02-28,Premium,39.99,11,PayPal,4,22,0,
312,2024-01-08,Premium,39.99,7,Bank Transfer,7,26,0,
313,2024-01-09,Basic,9.99,13,Credit Card,8,4,1,Price too high
314,2023-12-09,Basic,9.99,6,Mobile Money,0,17,1,No longer needed
315,2023-01-13,Standard,19.99,6,Bank Transfer,1,26,1,Price too high
316,2024-02-23,Standard,19.99,16,PayPal,5,6,0,
317,2024-03-31,Basic,9.99,19,PayPal,2,30,0,
318,2023-11-22,Standard,19.99,31,Credit Card,10,26,0,
319,2023-10-18,Standard,19.99,36,PayPal,3,11,0,
320,2024-03-18,Premium,39.99,13,Credit Card,0,16,0,
321,2023-02-16,Standard,19.99,12,Bank Transfer,10,17,0,
322,2023-06-03,Premium,39.99,1,PayPal,3,1,0,
323,2023-10-31,Premium,39.99,23,PayPal,8,29,0,
324,2023-10-09,Basic,9.99,13,Mobile Money,7,9,0,
325,2023-06-20,Standard,19.99,32,Bank Transfer,6,14,0,
326,2023-12-13,Standard,19.99,14,PayPal,4,25,0,
327,2023-08-09,Basic,9.99,32,Bank Transfer,6,27,0,
328,2023-01-05,Basic,9.99,31,PayPal,6,17,1,No longer needed
329,2023-09-19,Standard,19.99,24,Mobile Money,6,30,0,
330,2023-05-12,Premium,39.99,23,PayPal,3,28,0,
331,2024-02-28,Premium,39.99,25,Mobile Money,9,16,0,
332,2023-08-19,Basic,9.99,12,Mobile Money,4,3,0,
333,2023-07-30,Premium,39.99,26,Mobile Money,8,18,0,
334,2023-09-07,Basic,9.99,12,Bank Transfer,1,18,0,
335,2023-03-15,Standard,19.99,17,Bank Transfer,3,0,0,
336,2023-04-19,Premium,39.99,10,Mobile Money,3,18,0,
337,2024-04-24,Standard,19.99,21,Mobile Money,9,28,0,
338,2023-11-10,Basic,9.99,5,Mobile Money,6,10,1,Price too high
339,2023-08-06,Standard,19.99,15,Credit Card,4,10,0,
340,2023-05-31,Basic,9.99,34,Mobile Money,9,11,1,Price too high
341,2023-09-13,Basic,9.99,36,PayPal,1,12,0,
342,2023-02-14,Basic,9.99,6,Mobile Money,1,4,0,
343,2024-01-26,Standard,19.99,34,Bank Transfer,8,17,0,
344,2023-10-27,Standard,19.99,28,Bank Transfer,6,6,1,No longer needed
345,2024-01-21,Premium,39.99,8,PayPal,8,19,1,Found better alternative
346,2024-03-15,Standard,19.99,11,Bank Transfer,3,28,0,
347,2023-09-28,Standard,19.99,30,Bank Transfer,0,30,0,
348,2023-02-27,Standard,19.99,7,PayPal,6,25,1,Poor service
349,2023-08-24,Standard,19.99,35,Bank Transfer,10,1,0,
350,2023-08-30,Basic,9.99,10,PayPal,1,16,0,
351,2023-03-07,Standard,19.99,20,Bank Transfer,0,15,0,
352,2023-06-17,Standard,19.99,10,Mobile Money,10,28,1,Poor service
353,2024-03-19,Standard,19.99,28,Credit Card,10,15,0,
354,2024-02-08,Basic,9.99,10,PayPal,7,9,0,
355,2023-10-07,Standard,19.99,36,PayPal,9,30,0,
356,2023-09-10,Premium,39.99,13,Credit Card,8,7,1,Price too high
357,2024-03-03,Basic,9.99,7,Mobile Money,3,13,0,
358,2023-08-17,Premium,39.99,5,Credit Card,1,3,1,Found better alternative
359,2023-05-20,Standard,19.99,20,Bank Transfer,6,17,1,No longer needed
360,2023-08-15,Standard,19.99,3,Credit Card,0,28,0,
361,2023-12-18,Standard,19.99,6,Mobile Money,10,18,0,
362,2023-11-04,Basic,9.99,14,Credit Card,8,22,0,
363,2023-02-06,Basic,9.99,27,Credit Card,9,18,1,Found better alternative
364,2023-06-27,Standard,19.99,8,PayPal,0,4,0,
365,2024-02-24,Standard,19.99,5,Mobile Money,10,11,0,
366,2024-01-21,Premium,39.99,19,Bank Transfer,8,21,0,
367,2023-08-19,Premium,39.99,3,Mobile Money,4,5,0,
368,2023-12-19,Premium,39.99,10,PayPal,0,13,1,Price too high
369,2023-05-30,Standard,19.99,32,Credit Card,10,7,0,
370,2024-03-24,Basic,9.99,5,Mobile Money,9,26,0,
371,2023-04-07,Standard,19.99,13,Credit Card,8,30,0,
372,2023-07-05,Premium,39.99,20,PayPal,6,5,0,
373,2024-01-23,Basic,9.99,28,Credit Card,10,6,0,
374,2024-02-16,Basic,9.99,3,Bank Transfer,4,7,0,
375,2024-04-04,Basic,9.99,15,Credit Card,10,14,1,Price too high
376,2023-08-12,Basic,9.99,3,Credit Card,2,18,0,
377,2023-01-09,Standard,19.99,1,Credit Card,1,11,0,
378,2023-10-21,Basic,9.99,26,Credit Card,9,21,1,Found better alternative
379,2023-04-29,Basic,9.99,7,Credit Card,5,20,0,
380,2023-03-11,Basic,9.99,30,Mobile Money,6,7,1,Poor service
381,2024-04-11,Premium,39.99,30,PayPal,1,15,0,
382,2024-02-17,Premium,39.99,4,Credit Card,4,26,1,Found better alternative
383,2023-10-20,Basic,9.99,5,Bank Transfer,8,12,0,
384,2023-04-01,Premium,39.99,24,PayPal,4,3,0,
385,2023-01-26,Basic,9.99,30,Mobile Money,10,0,0,
386,2023-02-08,Premium,39.99,11,Bank Transfer,10,14,0,
387,2023-10-23,Basic,9.99,19,Bank Transfer,2,0,1,No longer needed
388,2024-01-30,Premium,39.99,10,Mobile Money,3,14,0,
389,2023-01-22,Premium,39.99,17,PayPal,10,1,0,
390,2023-05-16,Premium,39.99,27,Bank Transfer,2,28,0,
391,2023-02-05,Standard,19.99,9,Mobile Money,9,6,1,Found better alternative
392,2023-08-14,Standard,19.99,31,PayPal,0,21,0,
393,2024-01-24,Basic,9.99,15,PayPal,10,11,0,
394,2023-04-02,Basic,9.99,28,Mobile Money,8,6,1,Price too high
395,2023-11-11,Basic,9.99,18,Credit Card,10,2,1,No longer needed
396,2023-09-16,Standard,19.99,1,Credit Card,8,22,1,Price too high
397,2023-09-21,Standard,19.99,27,Credit Card,9,28,0,
398,2023-09-15,Premium,39.99,2,Bank Transfer,10,24,0,
399,2023-11-26,Standard,19.99,21,Bank Transfer,4,2,0,
400,2023-01-10,Premium,39.99,34,PayPal,2,28,0,
401,2024-02-16,Premium,39.99,24,Credit Card,0,0,0,
402,2024-01-06,Standard,19.99,1,Credit Card,8,19,0,
403,2023-03-23,Basic,9.99,24,Bank Transfer,10,15,0,
404,2023-08-03,Basic,9.99,2,Mobile Money,4,23,1,Price too high
405,2024-02-13,Standard,19.99,21,PayPal,1,0,0,
406,2024-05-04,Premium,39.99,35,Bank Transfer,3,29,0,
407,2023-05-16,Premium,39.99,28,PayPal,7,26,0,
408,2023-04-03,Basic,9.99,33,Bank Transfer,9,19,1,Found better alternative
409,2024-03-24,Premium,39.99,1,Mobile Money,3,14,0,
410,2023-01-23,Premium,39.99,35,Credit Card,0,22,0,
411,2023-12-29,Basic,9.99,26,Bank Transfer,0,16,0,
